seed_id,source_title,source_type,platform,source_url,source_language,source_published_at,package_title,package_slug,package_type,publication_cycle,primary_topic,additional_topics,collection_name,brief_required,audio_optional,slides_optional,video_optional,raw_source_visible,publish_start_at,notes
seed-01,Introducing GPT-4.1 in the API,article,OpenAI,https://openai.com/index/gpt-4-1/,en,2025-04-14,GPT-4.1 发布回顾：长上下文与编码能力,gpt-4-1-launch-recap,recap,special,models,"coding;agents",模型发布观察,yes,yes,yes,no,true,2025-04-15 09:00:00,官方模型发布文章
seed-02,Introducing deep research,article,OpenAI,https://openai.com/index/introducing-deep-research/,en,2025-02-02,Deep Research 产品拆解：研究型 Agent 的产品形态,deep-research-agent-breakdown,deep_dive,special,agents,"research;workflow",Agentic AI Watch,yes,yes,yes,no,true,2025-02-03 09:00:00,适合做摘要+音频+要点幻灯片
seed-03,Introducing Operator,article,OpenAI,https://openai.com/index/introducing-operator/,en,2025-01-23,Operator 回顾：浏览器代理如何进入真实任务,operator-browser-agent-recap,recap,special,agents,"workflow;tooling",Agentic AI Watch,yes,yes,yes,no,true,2025-01-24 09:00:00,适合做任务流整理
seed-04,OpenAI and Guardian Media Group launch content partnership,article,OpenAI,https://openai.com/index/openai-and-guardian-media-group-launch-content-partnership/,en,2025-02-14,OpenAI x Guardian：内容授权与 AI 媒体合作观察,openai-guardian-content-partnership-watch,watchlist,special,business,"media;strategy",AI 产品与生态,yes,no,yes,no,true,2025-02-15 09:00:00,偏行业观察类内容
seed-05,Gemini 2.5: Our most intelligent AI model,article,Google,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/gemini-model-thinking-updates-march-2025/,en,2025-03-25,Gemini 2.5 首发解读：推理模型与长上下文,gemini-2-5-launch-recap,recap,special,models,"reasoning;coding",模型发布观察,yes,yes,yes,no,true,2025-03-26 09:00:00,Google 官方模型发布
seed-06,"Build rich, interactive web apps with an updated Gemini 2.5 Pro",article,Google,https://blog.google/products-and-platforms/products/gemini/gemini-2-5-pro-updates/,en,2025-05-06,Gemini 2.5 Pro 更新：Web 应用与 Agent 工作流能力,gemini-2-5-pro-web-apps-update,toolkit,special,coding,"agents;workflow",开发者工具追踪,yes,yes,yes,no,true,2025-05-07 09:00:00,偏开发者实践方向
seed-07,New capabilities for building agents on the Anthropic API,article,Anthropic,https://www.anthropic.com/news/agent-capabilities-api/,en,2025-05-22,Anthropic API Agent 能力更新：MCP 与文件能力梳理,anthropic-agent-capabilities-api-update,toolkit,special,agents,"tooling;workflow",Agentic AI Watch,yes,yes,yes,no,true,2025-05-23 09:00:00,适合做开发者工具型内容包
seed-08,Anthropic Economic Index: Insights from Claude 3.7 Sonnet,article,Anthropic,https://www.anthropic.com/news/anthropic-economic-index-insights-from-claude-sonnet-3-7,en,2025-03-27,Claude 3.7 使用洞察：AI 如何进入真实工作场景,deep_dive-claude-3-7-economic-index,deep_dive,monthly,research,"strategy;economy",AI 使用与趋势,yes,yes,yes,no,true,2025-03-28 09:00:00,适合做研究摘要型内容
seed-09,Introducing Agent Skills,article,Anthropic,https://claude.com/blog/skills,en,2025-10-16,Agent Skills 机制解读：AI 工作流如何模块化,agent-skills-mechanism-breakdown,deep_dive,special,agents,"tooling;workflow",开发者工具追踪,yes,yes,yes,no,true,2025-10-17 09:00:00,适合做机制解析与案例整理
seed-10,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,paper,arXiv,https://arxiv.org/abs/2501.12948,en,2025-01-22,DeepSeek-R1 论文整理：强化学习如何激发表现型推理,deepseek-r1-paper-digest,deep_dive,special,research,"models;reasoning",研究与论文精选,yes,yes,yes,no,true,2025-01-23 09:00:00,论文类样本
seed-11,MCP connector,website,Anthropic Docs,https://platform.claude.com/docs/en/agents-and-tools/mcp-connector,en,,Anthropic MCP Connector 文档整理：远程工具如何接入模型,anthropic-mcp-connector-doc-digest,toolkit,special,agents,"tooling;integration",开发者工具追踪,yes,no,yes,no,true,2025-05-01 09:00:00,文档型样本
seed-12,Connect Claude Code to tools via MCP,website,Claude Code Docs,https://code.claude.com/docs/en/mcp,en,,Claude Code MCP 接入整理：本地与远程工具如何连接,claude-code-mcp-doc-digest,toolkit,special,agents,"coding;workflow",开发者工具追踪,yes,no,yes,no,true,2025-05-02 09:00:00,文档型样本
seed-13,Agent Builder,website,OpenAI Docs,https://developers.openai.com/api/docs/guides/agent-builder,en,,OpenAI Agent Builder 指南整理：工作流节点与发布机制,openai-agent-builder-guide-digest,toolkit,special,agents,"workflow;tooling",开发者工具追踪,yes,no,yes,no,true,2025-05-03 09:00:00,文档型样本
seed-14,OpenAI Agents SDK,website,OpenAI Docs,https://openai.github.io/openai-agents-python/,en,,OpenAI Agents SDK 整理：多 Agent、Guardrails 与 Tracing,openai-agents-sdk-doc-digest,toolkit,special,coding,"agents;tooling",开发者工具追踪,yes,no,yes,no,true,2025-05-04 09:00:00,SDK 文档型样本
seed-15,Introducing Agent Development Kit for TypeScript: Build AI Agents with the Power of a Code-First Approach,article,Google Developers Blog,https://developers.googleblog.com/en/introducing-agent-development-kit-for-typescript-build-ai-agents-with-the-power-of-a-code-first-approach/,en,2025-12-17,Google ADK for TypeScript 解读：Code-first Agent 框架怎么落地,google-adk-typescript-breakdown,toolkit,special,coding,"agents;tooling",开发者工具追踪,yes,yes,yes,no,true,2025-12-18 09:00:00,开发框架型内容
seed-16,"OpenAI Just Released ChatGPT Agent, Its Most Powerful Agent Yet",podcast,Sequoia Capital,https://sequoiacap.com/podcast/training-data-chatgpt-agent/,en,,ChatGPT Agent 播客整理：Deep Research 与 Operator 的合体逻辑,chatgpt-agent-podcast-digest,deep_dive,special,agents,"workflow;product",Agentic AI Watch,yes,yes,no,yes,true,2025-08-01 09:00:00,播客型样本
seed-17,Reflection AI’s Misha Laskin on the AlphaGo Moment for LLMs,podcast,Sequoia Capital,https://sequoiacap.com/podcast/training-data-misha-laskin/,en,,Reflection AI 播客整理：RL 与通用 Agent 的路线判断,reflection-ai-misha-laskin-podcast-digest,deep_dive,special,research,"agents;reasoning",研究与论文精选,yes,yes,no,yes,true,2025-08-02 09:00:00,播客型样本
seed-18,Voice AI: Solving Healthcare's Workforce Challenges with Ankit Jain,podcast,a16z,https://a16z.com/podcast/voice-ai-solving-healthcares-workforce-challenges-with-ankit-jain/,en,2025-02-11,Voice AI 在医疗中的落地：语音代理如何替代重复劳动,voice-ai-healthcare-podcast-digest,interview,special,voice_ai,"healthcare;workflow",AI 行业应用,yes,yes,no,yes,true,2025-02-12 09:00:00,语音 Agent 场景样本
seed-19,AI Ascent 2025,video,YouTube,https://youtube.com/playlist?list=PLOhHNjZItNnMEqGLRWkKjaMcdSJptkR08&si=F4FNZTwdLXg4k3Su,en,2025-05-08,AI Ascent 2025 视频合集整理：模型、Agent 与基础设施,ai-ascent-2025-video-playlist-digest,watchlist,special,business,"models;agents;infrastructure",AI 峰会视频精选,yes,yes,yes,yes,true,2025-05-09 09:00:00,视频合集型样本
seed-20,LIVE: Sam Altman of OpenAI on Building the ‘Core AI Subscription’ for Your Life,podcast,Sequoia Capital,https://sequoiacap.com/podcast/sam-altman-training-data/,en,,Sam Altman 访谈整理：AI 订阅层、Agent 协议与产品机会,sam-altman-core-ai-subscription-podcast-digest,interview,special,business,"agents;product;platform",AI 产品与生态,yes,yes,no,yes,true,2025-08-03 09:00:00,访谈型样本
